Game_Number,Date,Away,Home,OU,Spread,IL,ML,Away_ML,Points,Win,Margin,Prediction,Correct?,Bet_Amount,Money_Lost_Won,Running_Profit,Confidence,Uncertainty,Odds
SUMMARY,Tested: 10/27/2023,,,,,,,,,,,,,Bet for All Game: $100,"Total Profit: $53,956.04",,,,
,,,,,,,,,,,,,,Total Bets: 745,Win Rate: 71.7%,,,,
1,2023-10-27,Detroit Pistons,Charlotte Hornets,227.0,0,0.621999979019165,160,264,210.0,0,0.0,1,No,100,-100.0,-100.0,0.621999979019165,0.1,160.8000030517578
2,2023-10-27,New York Knicks,Atlanta Hawks,229.0,0,0.6389999985694885,156,277,246.0,0,0.0,1,No,100,-100.0,-200.0,0.6389999985694885,0.1,156.47000122070312
3,2023-10-27,Miami Heat,Boston Celtics,217.5,0,0.6790000200271606,147,311,230.0,1,0.0,1,Yes,100,147.22000122070312,-52.779998779296875,0.6790000200271606,0.1,147.22000122070312
4,2023-10-27,Oklahoma City Thunder,Cleveland Cavaliers,225.5,0,0.6489999890327454,153,285,213.0,0,0.0,0,Yes,100,153.97999572753906,101.19999694824219,0.35100001096725464,0.1,153.97999572753906
5,2023-10-27,Toronto Raptors,Chicago Bulls,216.0,0,0.6060000061988831,165,253,207.0,1,0.0,0,No,100,-100.0,1.2000000476837158,0.39399999380111694,0.1,165.1199951171875
6,2023-10-27,Brooklyn Nets,Dallas Mavericks,230.0,0,0.6679999828338623,149,301,245.0,1,0.0,1,Yes,100,149.69000244140625,150.88999938964844,0.6679999828338623,0.1,149.69000244140625
7,2023-10-27,Golden State Warriors,Sacramento Kings,237.5,0,0.75,133,400,236.0,0,0.0,1,No,100,-100.0,50.88999938964844,0.75,0.1,133.2899932861328
8,2023-10-27,Orlando Magic,Portland Trail Blazers,220.5,0,0.6069999933242798,164,254,199.0,0,0.0,0,Yes,100,164.8800048828125,215.77000427246094,0.3930000066757202,0.1,164.8800048828125
9,2023-10-28,Indiana Pacers,Cleveland Cavaliers,221.0,0,0.6759999990463257,148,308,238.0,0,0.0,0,Yes,100,148.02999877929688,363.79998779296875,0.3240000009536743,0.1,148.02999877929688
10,2023-10-28,Utah Jazz,Phoenix Suns,223.0,0,0.7269999980926514,137,366,230.0,1,0.0,1,Yes,100,137.47999572753906,501.2799987792969,0.7269999980926514,0.1,137.47999572753906
11,2023-10-28,Chicago Bulls,Detroit Pistons,213.5,0,0.6949999928474426,143,327,220.0,1,0.0,1,Yes,100,143.9600067138672,645.239990234375,0.6949999928474426,0.1,143.9600067138672
12,2023-10-28,New York Knicks,New Orleans Pelicans,223.5,0,0.7720000147819519,129,438,183.0,1,0.0,1,Yes,100,129.52999877929688,774.760009765625,0.7720000147819519,0.1,129.52999877929688
13,2023-10-29,Denver Nuggets,Oklahoma City Thunder,231.0,0,0.6570000052452087,152,291,223.0,0,0.0,1,No,100,-100.0,674.760009765625,0.6570000052452087,0.1,152.1699981689453
14,2023-10-29,Atlanta Hawks,Milwaukee Bucks,239.5,0,0.671999990940094,148,304,237.0,0,0.0,1,No,100,-100.0,574.760009765625,0.671999990940094,0.1,148.9199981689453
15,2023-10-29,Portland Trail Blazers,Philadelphia 76ers,217.0,0,0.7110000252723694,140,346,224.0,1,0.0,1,Yes,100,140.60000610351562,715.3599853515625,0.7110000252723694,0.1,140.60000610351562
16,2023-10-29,Los Angeles Lakers,Sacramento Kings,235.5,0,0.6200000047683716,161,263,259.0,1,0.0,1,Yes,100,161.22000122070312,876.5800170898438,0.6200000047683716,0.1,161.22000122070312
17,2023-10-29,San Antonio Spurs,LA Clippers,229.5,0,0.6259999871253967,159,267,206.0,1,0.0,1,Yes,100,159.75999450683594,1036.3399658203125,0.6259999871253967,0.1,159.75999450683594
