Date,Away_Team,Home_Team,Bet_On,Prediction,Actual,Result,Bet_Amount,Profit_Loss,Running_Total,Confidence,Odds
2023-10-27,Detroit Pistons,Charlotte Hornets,home,0.622,0,LOSS,100,-100.0,-100.0,0.622,160.8
2023-10-27,New York Knicks,Atlanta Hawks,home,0.639,0,LOSS,100,-100.0,-200.0,0.639,156.47
2023-10-27,Miami Heat,Boston Celtics,home,0.679,1,WIN,100,147.22000122070312,-52.779998779296875,0.679,147.22
2023-10-27,Oklahoma City Thunder,Cleveland Cavaliers,away,0.351,0,WIN,100,153.97999572753906,101.19999694824219,0.351,153.98
2023-10-27,Toronto Raptors,Chicago Bulls,away,0.394,1,LOSS,100,-100.0,1.2000000476837158,0.394,165.12
2023-10-27,Brooklyn Nets,Dallas Mavericks,home,0.668,1,WIN,100,149.69000244140625,150.88999938964844,0.668,149.69
2023-10-27,Golden State Warriors,Sacramento Kings,home,0.75,0,LOSS,100,-100.0,50.88999938964844,0.75,133.29
2023-10-27,Orlando Magic,Portland Trail Blazers,away,0.393,0,WIN,100,164.8800048828125,215.77000427246094,0.393,164.88
2023-10-28,Indiana Pacers,Cleveland Cavaliers,away,0.324,0,WIN,100,148.02999877929688,363.79998779296875,0.324,148.03
2023-10-28,Utah Jazz,Phoenix Suns,home,0.727,1,WIN,100,137.47999572753906,501.2799987792969,0.727,137.48
2023-10-28,Chicago Bulls,Detroit Pistons,home,0.695,1,WIN,100,143.9600067138672,645.239990234375,0.695,143.96
2023-10-28,New York Knicks,New Orleans Pelicans,home,0.772,1,WIN,100,129.52999877929688,774.760009765625,0.772,129.53
2023-10-29,Denver Nuggets,Oklahoma City Thunder,home,0.657,0,LOSS,100,-100.0,674.760009765625,0.657,152.17
2023-10-29,Atlanta Hawks,Milwaukee Bucks,home,0.672,0,LOSS,100,-100.0,574.760009765625,0.672,148.92
2023-10-29,Portland Trail Blazers,Philadelphia 76ers,home,0.711,1,WIN,100,140.60000610351562,715.3599853515625,0.711,140.6
2023-10-29,Los Angeles Lakers,Sacramento Kings,home,0.62,1,WIN,100,161.22000122070312,876.5800170898438,0.62,161.22
2023-10-29,San Antonio Spurs,LA Clippers,home,0.626,1,WIN,100,159.75999450683594,1036.3399658203125,0.626,159.76
2023-10-30,Utah Jazz,Denver Nuggets,home,0.756,1,WIN,100,132.3300018310547,1168.6700439453125,0.756,132.33
2023-10-30,Miami Heat,Milwaukee Bucks,home,0.659,1,WIN,100,151.86000061035156,1320.530029296875,0.659,151.86
2023-10-30,Golden State Warriors,New Orleans Pelicans,home,0.728,0,LOSS,100,-100.0,1220.530029296875,0.728,137.27
2023-10-30,Chicago Bulls,Indiana Pacers,home,0.747,0,LOSS,100,-100.0,1120.530029296875,0.747,133.95
2023-10-30,Boston Celtics,Washington Wizards,away,0.382,0,WIN,100,161.88999938964844,1282.4200439453125,0.382,161.89
2023-10-30,Portland Trail Blazers,Toronto Raptors,home,0.691,0,LOSS,100,-100.0,1182.4200439453125,0.691,144.82
2023-10-31,Orlando Magic,LA Clippers,home,0.649,1,WIN,100,153.97000122070312,1336.3900146484375,0.649,153.97
2023-10-31,San Antonio Spurs,Phoenix Suns,home,0.694,0,LOSS,100,-100.0,1236.3900146484375,0.694,144.02
2023-11-01,Portland Trail Blazers,Detroit Pistons,home,0.655,0,LOSS,100,-100.0,1136.3900146484375,0.655,152.7
2023-11-01,Indiana Pacers,Boston Celtics,home,0.676,1,WIN,100,147.89999389648438,1284.2900390625,0.676,147.9
2023-11-01,Washington Wizards,Atlanta Hawks,home,0.773,1,WIN,100,129.3800048828125,1413.6700439453125,0.773,129.38
2023-11-01,Charlotte Hornets,Houston Rockets,away,0.4,1,LOSS,100,-100.0,1313.6700439453125,0.4,166.57
2023-11-01,Denver Nuggets,Minnesota Timberwolves,away,0.393,1,LOSS,100,-100.0,1213.6700439453125,0.393,164.87
2023-11-01,Chicago Bulls,Dallas Mavericks,home,0.673,1,WIN,100,148.52999877929688,1362.199951171875,0.673,148.53
2023-11-02,San Antonio Spurs,Phoenix Suns,home,0.675,0,LOSS,100,-100.0,1262.199951171875,0.675,148.11
2023-11-02,Toronto Raptors,Philadelphia 76ers,home,0.738,1,WIN,100,135.58999633789062,1397.7900390625,0.738,135.59
2023-11-03,Cleveland Cavaliers,Indiana Pacers,away,0.37,1,LOSS,100,-100.0,1297.7900390625,0.37,158.73
2023-11-03,New York Knicks,Milwaukee Bucks,home,0.651,1,WIN,100,153.72000122070312,1451.510009765625,0.651,153.72
2023-11-03,Golden State Warriors,Oklahoma City Thunder,away,0.298,0,WIN,100,142.52999877929688,1594.0400390625,0.298,142.53
2023-11-04,Utah Jazz,Minnesota Timberwolves,home,0.674,1,WIN,100,148.4199981689453,1742.4599609375,0.674,148.42
2023-11-04,Sacramento Kings,Houston Rockets,away,0.387,1,LOSS,100,-100.0,1642.4599609375,0.387,163.24
2023-11-04,Phoenix Suns,Philadelphia 76ers,home,0.636,1,WIN,100,157.2899932861328,1799.75,0.636,157.29
2023-11-04,Chicago Bulls,Denver Nuggets,home,0.727,1,WIN,100,137.52000427246094,1937.27001953125,0.727,137.52
2023-11-05,Charlotte Hornets,Dallas Mavericks,home,0.683,1,WIN,100,146.4499969482422,2083.72998046875,0.683,146.45
2023-11-05,Golden State Warriors,Cleveland Cavaliers,away,0.39,1,LOSS,100,-100.0,1983.72998046875,0.39,163.87
2023-11-05,Phoenix Suns,Detroit Pistons,home,0.758,0,LOSS,100,-100.0,1883.72998046875,0.758,131.88
2023-11-06,New Orleans Pelicans,Denver Nuggets,home,0.719,1,WIN,100,139.07000732421875,2022.800048828125,0.719,139.07
2023-11-06,Sacramento Kings,Houston Rockets,away,0.377,1,LOSS,100,-100.0,1922.800048828125,0.377,160.58
2023-11-06,Washington Wizards,Philadelphia 76ers,home,0.756,1,WIN,100,132.24000549316406,2055.0400390625,0.756,132.24
2023-11-06,LA Clippers,New York Knicks,away,0.352,1,LOSS,100,-100.0,1955.0400390625,0.352,154.29
2023-11-08,Toronto Raptors,Dallas Mavericks,home,0.731,0,LOSS,100,-100.0,1855.0400390625,0.731,136.89
2023-11-08,Detroit Pistons,Milwaukee Bucks,home,0.661,1,WIN,100,151.19000244140625,2006.22998046875,0.661,151.19
2023-11-08,Miami Heat,Memphis Grizzlies,away,0.353,0,WIN,100,154.5500030517578,2160.7900390625,0.353,154.55
2023-11-08,Washington Wizards,Charlotte Hornets,home,0.662,0,LOSS,100,-100.0,2060.7900390625,0.662,150.97
2023-11-08,New Orleans Pelicans,Minnesota Timberwolves,home,0.729,1,WIN,100,137.24000549316406,2198.02001953125,0.729,137.24
2023-11-08,San Antonio Spurs,New York Knicks,home,0.71,1,WIN,100,140.85000610351562,2338.8798828125,0.71,140.85
2023-11-08,Utah Jazz,Indiana Pacers,home,0.672,1,WIN,100,148.88999938964844,2487.77001953125,0.672,148.89
2023-11-09,Milwaukee Bucks,Indiana Pacers,home,0.615,1,WIN,100,162.47999572753906,2650.25,0.615,162.48
