Game_Number,Date,Away,Home,OU,Spread,IL,ML,Away_ML,Points,Win,Margin,Prediction,Correct?,Bet_Amount,Money_Lost_Won,Running_Profit,Confidence,Uncertainty,Odds
SUMMARY,Tested: 10/27/2023,,,,,,,,,,,,,Bet for All Game: $100,"Total Profit: $58,392.18",,,,
,,,,,,,,,,,,,,Total Bets: 719,Win Rate: 74.7%,,,,
1,2023-10-27,Denver Nuggets,Memphis Grizzlies,221.5,0,0.67,149,303,212.0,0,0.0,0,Yes,100,149.21,149.21,0.33,0.1,149.21
2,2023-10-27,Miami Heat,Boston Celtics,217.5,0,0.627,159,268,230.0,1,0.0,1,Yes,100,159.42,308.63,0.627,0.1,159.42
3,2023-10-27,Oklahoma City Thunder,Cleveland Cavaliers,225.5,0,0.682,146,314,213.0,0,0.0,0,Yes,100,146.61,455.24,0.318,0.1,146.61
4,2023-10-27,Brooklyn Nets,Dallas Mavericks,230.0,0,0.696,143,328,245.0,1,0.0,1,Yes,100,143.67,598.91,0.696,0.1,143.67
5,2023-10-27,Orlando Magic,Portland Trail Blazers,220.5,0,0.686,145,317,199.0,0,0.0,0,Yes,100,145.88,744.78,0.314,0.1,145.88
6,2023-10-28,Miami Heat,Minnesota Timberwolves,214.5,0,0.771,129,437,196.0,1,0.0,1,Yes,100,129.64,874.42,0.771,0.1,129.64
7,2023-10-28,Indiana Pacers,Cleveland Cavaliers,221.0,0,0.713,140,348,238.0,0,0.0,0,Yes,100,140.27,1014.69,0.287,0.1,140.27
8,2023-10-28,Utah Jazz,Phoenix Suns,223.0,0,0.718,139,354,230.0,1,0.0,1,Yes,100,139.24,1153.93,0.718,0.1,139.24
9,2023-10-28,Chicago Bulls,Detroit Pistons,213.5,0,0.731,136,371,220.0,1,0.0,1,Yes,100,136.77,1290.7,0.731,0.1,136.77
10,2023-10-28,New York Knicks,New Orleans Pelicans,223.5,0,0.77,129,435,183.0,1,0.0,1,Yes,100,129.82,1420.52,0.77,0.1,129.82
11,2023-10-28,Memphis Grizzlies,Washington Wizards,230.0,0,0.679,147,311,219.0,1,0.0,1,Yes,100,147.18,1567.71,0.679,0.1,147.18
12,2023-10-29,Golden State Warriors,Houston Rockets,223.0,0,0.612,163,257,201.0,0,0.0,0,Yes,100,163.41,1731.12,0.388,0.1,163.41
13,2023-10-29,Portland Trail Blazers,Philadelphia 76ers,217.0,0,0.726,137,365,224.0,1,0.0,1,Yes,100,137.69,1868.81,0.726,0.1,137.69
14,2023-10-29,Los Angeles Lakers,Sacramento Kings,235.5,0,0.675,148,308,259.0,1,0.0,1,Yes,100,148.07,2016.88,0.675,0.1,148.07
15,2023-10-30,Utah Jazz,Denver Nuggets,225.0,0,0.742,134,387,212.0,1,0.0,1,Yes,100,134.77,2151.65,0.742,0.1,134.77
16,2023-10-30,Miami Heat,Milwaukee Bucks,226.0,0,0.639,156,276,236.0,1,0.0,1,Yes,100,156.53,2308.18,0.639,0.1,156.53
17,2023-10-30,Golden State Warriors,New Orleans Pelicans,221.0,0,0.685,145,317,232.0,0,0.0,1,No,100,-100.0,2208.18,0.685,0.1,145.99
18,2023-10-30,Dallas Mavericks,Memphis Grizzlies,222.0,0,0.618,161,261,235.0,0,0.0,0,Yes,100,161.8,2369.99,0.382,0.1,161.8
19,2023-10-30,Boston Celtics,Washington Wizards,231.5,0,0.761,131,418,233.0,0,0.0,0,Yes,100,131.41,2501.4,0.239,0.1,131.41
20,2023-10-30,Portland Trail Blazers,Toronto Raptors,217.0,0,0.646,154,282,190.0,0,0.0,1,No,100,-100.0,2401.4,0.646,0.1,154.84
21,2023-10-31,Orlando Magic,LA Clippers,220.5,0,0.714,140,349,220.0,1,0.0,1,Yes,100,140.03,2541.43,0.714,0.1,140.03
22,2023-10-31,San Antonio Spurs,Phoenix Suns,224.5,0,0.641,155,278,229.0,0,0.0,1,No,100,-100.0,2441.43,0.641,0.1,155.96
23,2023-11-01,Portland Trail Blazers,Detroit Pistons,216.5,0,0.728,137,366,211.0,0,0.0,1,No,100,-100.0,2341.43,0.728,0.1,137.45
24,2023-11-01,Indiana Pacers,Boston Celtics,233.5,0,0.692,144,324,259.0,1,0.0,1,Yes,100,144.51,2485.94,0.692,0.1,144.51
25,2023-11-01,Washington Wizards,Atlanta Hawks,240.5,0,0.7,142,333,251.0,1,0.0,1,Yes,100,142.91,2628.85,0.7,0.1,142.91
26,2023-11-01,Cleveland Cavaliers,New York Knicks,210.5,0,0.706,141,339,184.0,0,0.0,1,No,100,-100.0,2528.85,0.706,0.1,141.68
27,2023-11-01,Brooklyn Nets,Miami Heat,222.5,0,0.698,143,330,214.0,0,0.0,0,Yes,100,143.36,2672.2,0.302,0.1,143.36
28,2023-11-01,New Orleans Pelicans,Oklahoma City Thunder,227.5,0,0.605,165,253,216.0,0,0.0,1,No,100,-100.0,2572.2,0.605,0.1,165.15
29,2023-11-01,Chicago Bulls,Dallas Mavericks,220.5,0,0.671,149,303,219.0,1,0.0,1,Yes,100,149.04,2721.25,0.671,0.1,149.04
30,2023-11-01,Sacramento Kings,Golden State Warriors,228.0,0,0.638,156,276,203.0,1,0.0,1,Yes,100,156.73,2877.98,0.638,0.1,156.73
31,2023-11-02,San Antonio Spurs,Phoenix Suns,229.5,0,0.661,151,295,253.0,0,0.0,1,No,100,-100.0,2777.98,0.661,0.1,151.25
32,2023-11-02,Toronto Raptors,Philadelphia 76ers,214.5,0,0.779,128,451,213.0,1,0.0,1,Yes,100,128.43,2906.4,0.779,0.1,128.43
33,2023-11-02,Detroit Pistons,New Orleans Pelicans,215.5,0,0.617,162,260,241.0,1,0.0,1,Yes,100,162.17,3068.57,0.617,0.1,162.17
34,2023-11-03,Memphis Grizzlies,Portland Trail Blazers,220.0,0,0.629,159,269,228.0,1,0.0,1,Yes,100,159.05,3227.62,0.629,0.1,159.05
35,2023-11-03,New York Knicks,Milwaukee Bucks,224.5,0,0.607,164,254,215.0,1,0.0,1,Yes,100,164.77,3392.39,0.607,0.1,164.77
36,2023-11-04,Utah Jazz,Minnesota Timberwolves,224.5,0,0.701,142,334,218.0,1,0.0,1,Yes,100,142.7,3535.09,0.701,0.1,142.7
37,2023-11-04,Los Angeles Lakers,Orlando Magic,222.5,0,0.641,156,278,221.0,1,0.0,1,Yes,100,156.09,3691.18,0.641,0.1,156.09
38,2023-11-04,Phoenix Suns,Philadelphia 76ers,220.5,0,0.686,145,318,212.0,1,0.0,1,Yes,100,145.82,3837.0,0.686,0.1,145.82
39,2023-11-04,Chicago Bulls,Denver Nuggets,217.5,0,0.728,137,367,224.0,1,0.0,1,Yes,100,137.34,3974.34,0.728,0.1,137.34
40,2023-11-05,Charlotte Hornets,Dallas Mavericks,235.0,0,0.792,126,481,242.0,1,0.0,1,Yes,100,126.2,4100.54,0.792,0.1,126.2
41,2023-11-05,Golden State Warriors,Cleveland Cavaliers,223.0,0,0.654,152,288,219.0,1,0.0,0,No,100,-100.0,4000.54,0.346,0.1,152.93
42,2023-11-05,Phoenix Suns,Detroit Pistons,218.0,0,0.633,158,272,226.0,0,0.0,1,No,100,-100.0,3900.54,0.633,0.1,158.07
43,2023-11-06,New Orleans Pelicans,Denver Nuggets,229.5,0,0.705,141,339,250.0,1,0.0,1,Yes,100,141.8,4042.34,0.705,0.1,141.8
44,2023-11-06,Dallas Mavericks,Orlando Magic,230.5,0,0.637,157,275,219.0,0,0.0,1,No,100,-100.0,3942.34,0.637,0.1,157.08
45,2023-11-06,Washington Wizards,Philadelphia 76ers,229.0,0,0.754,132,405,274.0,1,0.0,1,Yes,100,132.69,4075.03,0.754,0.1,132.69
46,2023-11-06,San Antonio Spurs,Indiana Pacers,239.0,0,0.614,162,259,263.0,1,0.0,1,Yes,100,162.79,4237.82,0.614,0.1,162.79
47,2023-11-08,Phoenix Suns,Chicago Bulls,218.0,0,0.619,161,262,231.0,0,0.0,0,Yes,100,161.52,4399.34,0.381,0.1,161.52
48,2023-11-08,Toronto Raptors,Dallas Mavericks,225.5,0,0.793,126,484,243.0,0,0.0,1,No,100,-100.0,4299.34,0.793,0.1,126.04
49,2023-11-08,Cleveland Cavaliers,Oklahoma City Thunder,227.5,0,0.643,155,280,248.0,1,0.0,1,Yes,100,155.52,4454.86,0.643,0.1,155.52
50,2023-11-08,Detroit Pistons,Milwaukee Bucks,227.0,0,0.663,150,296,238.0,1,0.0,1,Yes,100,150.89,4605.75,0.663,0.1,150.89
51,2023-11-08,Miami Heat,Memphis Grizzlies,217.0,0,0.621,161,263,210.0,0,0.0,0,Yes,100,161.04,4766.79,0.379,0.1,161.04
52,2023-11-08,Washington Wizards,Charlotte Hornets,239.0,0,0.668,149,300,248.0,0,0.0,1,No,100,-100.0,4666.79,0.668,0.1,149.76
53,2023-11-08,New Orleans Pelicans,Minnesota Timberwolves,216.0,0,0.681,146,313,223.0,1,0.0,1,Yes,100,146.81,4813.6,0.681,0.1,146.81
54,2023-11-08,San Antonio Spurs,New York Knicks,223.5,0,0.632,158,272,231.0,1,0.0,1,Yes,100,158.12,4971.72,0.632,0.1,158.12
55,2023-11-08,Utah Jazz,Indiana Pacers,243.0,0,0.7,142,333,252.0,1,0.0,1,Yes,100,142.83,5114.54,0.7,0.1,142.83
56,2023-11-08,Los Angeles Lakers,Houston Rockets,222.0,0,0.63,158,270,222.0,1,0.0,1,Yes,100,158.78,5273.33,0.63,0.1,158.78
57,2023-11-09,Milwaukee Bucks,Indiana Pacers,239.5,0,0.62,161,262,250.0,1,0.0,1,Yes,100,161.41,5434.73,0.62,0.1,161.41
58,2023-11-10,Los Angeles Lakers,Phoenix Suns,224.5,0,0.682,146,314,241.0,0,0.0,1,No,100,-100.0,5334.73,0.682,0.1,146.71
59,2023-11-10,Minnesota Timberwolves,San Antonio Spurs,225.0,0,0.658,152,292,227.0,0,0.0,0,Yes,100,152.03,5486.76,0.342,0.1,152.03
