Date,Away_Team,Home_Team,Bet_On,Prediction,Actual,Result,Bet_Amount,Profit_Loss,Running_Total,Confidence,Odds
2023-10-27,Denver Nuggets,Memphis Grizzlies,away,0.33,0,WIN,100,149.21,149.21,0.33,149.21
2023-10-27,Miami Heat,Boston Celtics,home,0.627,1,WIN,100,159.42,308.63,0.627,159.42
2023-10-27,Oklahoma City Thunder,Cleveland Cavaliers,away,0.318,0,WIN,100,146.61,455.24,0.318,146.61
2023-10-27,Brooklyn Nets,Dallas Mavericks,home,0.696,1,WIN,100,143.67,598.91,0.696,143.67
2023-10-27,Orlando Magic,Portland Trail Blazers,away,0.314,0,WIN,100,145.88,744.78,0.314,145.88
2023-10-28,Miami Heat,Minnesota Timberwolves,home,0.771,1,WIN,100,129.64,874.42,0.771,129.64
2023-10-28,Indiana Pacers,Cleveland Cavaliers,away,0.287,0,WIN,100,140.27,1014.69,0.287,140.27
2023-10-28,Utah Jazz,Phoenix Suns,home,0.718,1,WIN,100,139.24,1153.93,0.718,139.24
2023-10-28,Chicago Bulls,Detroit Pistons,home,0.731,1,WIN,100,136.77,1290.7,0.731,136.77
2023-10-28,New York Knicks,New Orleans Pelicans,home,0.77,1,WIN,100,129.82,1420.52,0.77,129.82
2023-10-28,Memphis Grizzlies,Washington Wizards,home,0.679,1,WIN,100,147.18,1567.71,0.679,147.18
2023-10-29,Golden State Warriors,Houston Rockets,away,0.388,0,WIN,100,163.41,1731.12,0.388,163.41
2023-10-29,Portland Trail Blazers,Philadelphia 76ers,home,0.726,1,WIN,100,137.69,1868.81,0.726,137.69
2023-10-29,Los Angeles Lakers,Sacramento Kings,home,0.675,1,WIN,100,148.07,2016.88,0.675,148.07
2023-10-30,Utah Jazz,Denver Nuggets,home,0.742,1,WIN,100,134.77,2151.65,0.742,134.77
2023-10-30,Miami Heat,Milwaukee Bucks,home,0.639,1,WIN,100,156.53,2308.18,0.639,156.53
2023-10-30,Golden State Warriors,New Orleans Pelicans,home,0.685,0,LOSS,100,-100.0,2208.18,0.685,145.99
