Game_Number,Date,Away,Home,OU,Spread,IL,ML,Away_ML,Points,Win,Margin,Prediction,Correct?,Bet_Amount,Money_Lost_Won,Running_Profit,Confidence,Uncertainty,Odds
SUMMARY,Tested: 10/27/2023,,,,,,,,,,,,,Bet for All Game: $100,"Total Profit: $36,573.97",,,,
,,,,,,,,,,,,,,Total Bets: 941,Win Rate: 61.6%,,,,
1,2023-10-27,Detroit Pistons,Charlotte Hornets,227.0,0,0.9520000219345093,105,2061,210.0,0,0.0,1,No,100,-100.0,-100.0,0.9520000219345093,0.1,105.0999984741211
2,2023-10-27,New York Knicks,Atlanta Hawks,229.0,0,0.7279999852180481,137,368,246.0,0,0.0,1,No,100,-100.0,-200.0,0.7279999852180481,0.1,137.3000030517578
3,2023-10-27,Miami Heat,Boston Celtics,217.5,0,0.7870000004768372,127,470,230.0,1,0.0,1,Yes,100,127.0,-73.0,0.7870000004768372,0.1,127.0
4,2023-10-27,Houston Rockets,San Antonio Spurs,224.5,0,0.7699999809265137,129,434,248.0,1,0.0,1,Yes,100,129.8699951171875,56.869998931884766,0.7699999809265137,0.1,129.8699951171875
5,2023-10-27,Toronto Raptors,Chicago Bulls,216.0,0,0.7670000195503235,130,429,207.0,1,0.0,0,No,100,-100.0,-43.130001068115234,0.2329999953508377,0.1,130.32000732421875
6,2023-10-27,LA Clippers,Utah Jazz,227.5,0,0.6890000104904175,145,321,238.0,1,0.0,0,No,100,-100.0,-143.1300048828125,0.3109999895095825,0.1,145.17999267578125
7,2023-10-27,Golden State Warriors,Sacramento Kings,237.5,0,0.8519999980926514,117,673,236.0,0,0.0,0,Yes,100,117.44000244140625,-25.700000762939453,0.14800000190734863,0.1,117.44000244140625
8,2023-10-27,Orlando Magic,Portland Trail Blazers,220.5,0,0.8640000224113464,115,735,199.0,0,0.0,0,Yes,100,115.7300033569336,90.04000091552734,0.13600000739097595,0.1,115.7300033569336
9,2023-10-28,Philadelphia 76ers,Toronto Raptors,214.5,0,0.9879999756813049,101,8463,221.0,0,0.0,1,No,100,-100.0,-9.960000038146973,0.9879999756813049,0.1,101.19999694824219
10,2023-10-28,Indiana Pacers,Cleveland Cavaliers,221.0,0,0.8360000252723694,119,609,238.0,0,0.0,1,No,100,-100.0,-109.95999908447266,0.8360000252723694,0.1,119.62000274658203
11,2023-10-28,Utah Jazz,Phoenix Suns,223.0,0,0.9879999756813049,101,8668,230.0,1,0.0,1,Yes,100,101.16999816894531,-8.789999961853027,0.9879999756813049,0.1,101.16999816894531
12,2023-10-28,Chicago Bulls,Detroit Pistons,213.5,0,0.8100000023841858,123,525,220.0,1,0.0,1,Yes,100,123.4800033569336,114.69000244140625,0.8100000023841858,0.1,123.4800033569336
13,2023-10-28,New York Knicks,New Orleans Pelicans,223.5,0,0.9929999709129333,100,15364,183.0,1,0.0,1,Yes,100,100.66000366210938,215.33999633789062,0.9929999709129333,0.1,100.66000366210938
14,2023-10-28,Memphis Grizzlies,Washington Wizards,230.0,0,0.6340000033378601,157,273,219.0,1,0.0,1,Yes,100,157.6199951171875,372.9700012207031,0.6340000033378601,0.1,157.6199951171875
15,2023-10-29,Denver Nuggets,Oklahoma City Thunder,231.0,0,0.902999997138977,110,1031,223.0,0,0.0,1,No,100,-100.0,272.9700012207031,0.902999997138977,0.1,110.7300033569336
16,2023-10-29,Golden State Warriors,Houston Rockets,223.0,0,0.9350000023841858,106,1534,201.0,0,0.0,0,Yes,100,106.97000122070312,379.94000244140625,0.06499999761581421,0.1,106.97000122070312
17,2023-10-29,Atlanta Hawks,Milwaukee Bucks,239.5,0,0.7160000205039978,139,352,237.0,0,0.0,1,No,100,-100.0,279.94000244140625,0.7160000205039978,0.1,139.60000610351562
