Date,Away_Team,Home_Team,Bet_On,Prediction,Actual,Result,Bet_Amount,Profit_Loss,Running_Total,Confidence,Odds
2023-10-27,Detroit Pistons,Charlotte Hornets,home,0.952,0,LOSS,100,-100.0,-100.0,0.952,105.1
2023-10-27,New York Knicks,Atlanta Hawks,home,0.728,0,LOSS,100,-100.0,-200.0,0.728,137.3
2023-10-27,Miami Heat,Boston Celtics,home,0.787,1,WIN,100,127.0,-73.0,0.787,127.0
2023-10-27,Houston Rockets,San Antonio Spurs,home,0.77,1,WIN,100,129.8699951171875,56.869998931884766,0.77,129.87
2023-10-27,Toronto Raptors,Chicago Bulls,away,0.233,1,LOSS,100,-100.0,-43.130001068115234,0.233,130.32
2023-10-27,LA Clippers,Utah Jazz,away,0.311,1,LOSS,100,-100.0,-143.1300048828125,0.311,145.18
2023-10-27,Golden State Warriors,Sacramento Kings,away,0.148,0,WIN,100,117.44000244140625,-25.700000762939453,0.148,117.44
2023-10-27,Orlando Magic,Portland Trail Blazers,away,0.136,0,WIN,100,115.7300033569336,90.04000091552734,0.136,115.73
2023-10-28,Philadelphia 76ers,Toronto Raptors,home,0.988,0,LOSS,100,-100.0,-9.960000038146973,0.988,101.2
2023-10-28,Indiana Pacers,Cleveland Cavaliers,home,0.836,0,LOSS,100,-100.0,-109.95999908447266,0.836,119.62
2023-10-28,Utah Jazz,Phoenix Suns,home,0.988,1,WIN,100,101.16999816894531,-8.789999961853027,0.988,101.17
2023-10-28,Chicago Bulls,Detroit Pistons,home,0.81,1,WIN,100,123.4800033569336,114.69000244140625,0.81,123.48
2023-10-28,New York Knicks,New Orleans Pelicans,home,0.993,1,WIN,100,100.66000366210938,215.33999633789062,0.993,100.66
2023-10-28,Memphis Grizzlies,Washington Wizards,home,0.634,1,WIN,100,157.6199951171875,372.9700012207031,0.634,157.62
2023-10-29,Denver Nuggets,Oklahoma City Thunder,home,0.903,0,LOSS,100,-100.0,272.9700012207031,0.903,110.73
2023-10-29,Golden State Warriors,Houston Rockets,away,0.065,0,WIN,100,106.97000122070312,379.94000244140625,0.065,106.97
2023-10-29,Atlanta Hawks,Milwaukee Bucks,home,0.716,0,LOSS,100,-100.0,279.94000244140625,0.716,139.6
2023-10-29,Portland Trail Blazers,Philadelphia 76ers,home,0.708,1,WIN,100,141.1999969482422,421.1400146484375,0.708,141.2
2023-10-29,San Antonio Spurs,LA Clippers,home,0.758,1,WIN,100,131.97999572753906,553.1300048828125,0.758,131.98
2023-10-30,Utah Jazz,Denver Nuggets,home,0.815,1,WIN,100,122.66999816894531,675.7899780273438,0.815,122.67
2023-10-30,Detroit Pistons,Oklahoma City Thunder,away,0.237,1,LOSS,100,-100.0,575.7899780273438,0.237,131.13
2023-10-30,Golden State Warriors,New Orleans Pelicans,home,0.772,0,LOSS,100,-100.0,475.7900085449219,0.772,129.52
2023-10-30,Brooklyn Nets,Charlotte Hornets,home,0.873,0,LOSS,100,-100.0,375.7900085449219,0.873,114.56
2023-10-30,Minnesota Timberwolves,Atlanta Hawks,away,0.296,1,LOSS,100,-100.0,275.7900085449219,0.296,142.11
2023-10-30,Chicago Bulls,Indiana Pacers,home,0.782,0,LOSS,100,-100.0,175.7899932861328,0.782,127.87
2023-10-30,Boston Celtics,Washington Wizards,away,0.187,0,WIN,100,122.94999694824219,298.75,0.187,122.95
2023-10-30,Orlando Magic,Los Angeles Lakers,away,0.217,1,LOSS,100,-100.0,198.75,0.217,127.74
2023-10-30,Portland Trail Blazers,Toronto Raptors,home,0.938,0,LOSS,100,-100.0,98.75,0.938,106.64
2023-10-31,Orlando Magic,LA Clippers,home,0.658,1,WIN,100,152.0800018310547,250.8300018310547,0.658,152.08
2023-10-31,New York Knicks,Cleveland Cavaliers,home,0.8,0,LOSS,100,-100.0,150.8300018310547,0.8,125.06
2023-10-31,San Antonio Spurs,Phoenix Suns,home,0.794,0,LOSS,100,-100.0,50.83000183105469,0.794,125.91
2023-11-01,Portland Trail Blazers,Detroit Pistons,home,0.633,0,LOSS,100,-100.0,-49.16999816894531,0.633,157.96
2023-11-01,Washington Wizards,Atlanta Hawks,home,0.931,1,WIN,100,107.45999908447266,58.290000915527344,0.931,107.46
2023-11-01,Cleveland Cavaliers,New York Knicks,away,0.19,0,WIN,100,123.5,181.7899932861328,0.19,123.5
2023-11-01,Brooklyn Nets,Miami Heat,away,0.285,0,WIN,100,139.8300018310547,321.6199951171875,0.285,139.83
2023-11-01,Charlotte Hornets,Houston Rockets,away,0.339,1,LOSS,100,-100.0,221.6199951171875,0.339,151.35
2023-11-01,Memphis Grizzlies,Utah Jazz,away,0.363,1,LOSS,100,-100.0,121.62000274658203,0.363,156.99
2023-11-01,Sacramento Kings,Golden State Warriors,home,0.827,1,WIN,100,120.91999816894531,242.5399932861328,0.827,120.92
2023-11-02,San Antonio Spurs,Phoenix Suns,home,0.952,0,LOSS,100,-100.0,142.5399932861328,0.952,105.05
2023-11-02,Orlando Magic,Utah Jazz,away,0.356,0,WIN,100,155.36000061035156,297.8999938964844,0.356,155.36
2023-11-02,Toronto Raptors,Philadelphia 76ers,away,0.372,1,LOSS,100,-100.0,197.89999389648438,0.372,159.29
2023-11-02,Detroit Pistons,New Orleans Pelicans,home,0.779,1,WIN,100,128.44000244140625,326.3399963378906,0.779,128.44
2023-11-03,Memphis Grizzlies,Portland Trail Blazers,home,0.657,1,WIN,100,152.17999267578125,478.5199890136719,0.657,152.18
