Game_Number,Date,Away,Home,OU,Spread,IL,ML,Away_ML,Points,Win,Margin,Prediction,Correct?,Bet_Amount,Money_Lost_Won,Running_Profit,Confidence,Uncertainty,Odds
SUMMARY,Tested: 10/27/2023,,,,,,,,,,,,,Bet for All Game: $100,"Total Profit: $58,392.18",,,,
,,,,,,,,,,,,,,Total Bets: 719,Win Rate: 74.7%,,,,
1,2023-10-27,Denver Nuggets,Memphis Grizzlies,221.5,0,0.6700000166893005,149,303,212.0,0,0.0,0,Yes,100,149.2100067138672,149.2100067138672,0.33000001311302185,0.1,149.2100067138672
2,2023-10-27,Miami Heat,Boston Celtics,217.5,0,0.6269999742507935,159,268,230.0,1,0.0,1,Yes,100,159.4199981689453,308.6300048828125,0.6269999742507935,0.1,159.4199981689453
3,2023-10-27,Oklahoma City Thunder,Cleveland Cavaliers,225.5,0,0.6819999814033508,146,314,213.0,0,0.0,0,Yes,100,146.61000061035156,455.239990234375,0.3179999887943268,0.1,146.61000061035156
4,2023-10-27,Brooklyn Nets,Dallas Mavericks,230.0,0,0.6959999799728394,143,328,245.0,1,0.0,1,Yes,100,143.6699981689453,598.9099731445312,0.6959999799728394,0.1,143.6699981689453
5,2023-10-27,Orlando Magic,Portland Trail Blazers,220.5,0,0.6859999895095825,145,317,199.0,0,0.0,0,Yes,100,145.8800048828125,744.780029296875,0.3140000104904175,0.1,145.8800048828125
6,2023-10-28,Miami Heat,Minnesota Timberwolves,214.5,0,0.7710000276565552,129,437,196.0,1,0.0,1,Yes,100,129.63999938964844,874.4199829101562,0.7710000276565552,0.1,129.63999938964844
7,2023-10-28,Indiana Pacers,Cleveland Cavaliers,221.0,0,0.7129999995231628,140,348,238.0,0,0.0,0,Yes,100,140.27000427246094,1014.6900024414062,0.28700000047683716,0.1,140.27000427246094
8,2023-10-28,Utah Jazz,Phoenix Suns,223.0,0,0.7179999947547913,139,354,230.0,1,0.0,1,Yes,100,139.24000549316406,1153.9300537109375,0.7179999947547913,0.1,139.24000549316406
9,2023-10-28,Chicago Bulls,Detroit Pistons,213.5,0,0.7310000061988831,136,371,220.0,1,0.0,1,Yes,100,136.77000427246094,1290.699951171875,0.7310000061988831,0.1,136.77000427246094
10,2023-10-28,New York Knicks,New Orleans Pelicans,223.5,0,0.7699999809265137,129,435,183.0,1,0.0,1,Yes,100,129.82000732421875,1420.52001953125,0.7699999809265137,0.1,129.82000732421875
11,2023-10-28,Memphis Grizzlies,Washington Wizards,230.0,0,0.6790000200271606,147,311,219.0,1,0.0,1,Yes,100,147.17999267578125,1567.7099609375,0.6790000200271606,0.1,147.17999267578125
12,2023-10-29,Golden State Warriors,Houston Rockets,223.0,0,0.6119999885559082,163,257,201.0,0,0.0,0,Yes,100,163.41000366210938,1731.1199951171875,0.3880000114440918,0.1,163.41000366210938
13,2023-10-29,Portland Trail Blazers,Philadelphia 76ers,217.0,0,0.7260000109672546,137,365,224.0,1,0.0,1,Yes,100,137.69000244140625,1868.81005859375,0.7260000109672546,0.1,137.69000244140625
14,2023-10-29,Los Angeles Lakers,Sacramento Kings,235.5,0,0.675000011920929,148,308,259.0,1,0.0,1,Yes,100,148.07000732421875,2016.8800048828125,0.675000011920929,0.1,148.07000732421875
15,2023-10-30,Utah Jazz,Denver Nuggets,225.0,0,0.7419999837875366,134,387,212.0,1,0.0,1,Yes,100,134.77000427246094,2151.64990234375,0.7419999837875366,0.1,134.77000427246094
16,2023-10-30,Miami Heat,Milwaukee Bucks,226.0,0,0.6389999985694885,156,276,236.0,1,0.0,1,Yes,100,156.52999877929688,2308.179931640625,0.6389999985694885,0.1,156.52999877929688
17,2023-10-30,Golden State Warriors,New Orleans Pelicans,221.0,0,0.6850000023841858,145,317,232.0,0,0.0,1,No,100,-100.0,2208.179931640625,0.6850000023841858,0.1,145.99000549316406
18,2023-10-30,Dallas Mavericks,Memphis Grizzlies,222.0,0,0.6179999709129333,161,261,235.0,0,0.0,0,Yes,100,161.8000030517578,2369.989990234375,0.38199999928474426,0.1,161.8000030517578
19,2023-10-30,Boston Celtics,Washington Wizards,231.5,0,0.7609999775886536,131,418,233.0,0,0.0,0,Yes,100,131.41000366210938,2501.39990234375,0.23899999260902405,0.1,131.41000366210938
20,2023-10-30,Portland Trail Blazers,Toronto Raptors,217.0,0,0.6460000276565552,154,282,190.0,0,0.0,1,No,100,-100.0,2401.39990234375,0.6460000276565552,0.1,154.83999633789062
21,2023-10-31,Orlando Magic,LA Clippers,220.5,0,0.7139999866485596,140,349,220.0,1,0.0,1,Yes,100,140.02999877929688,2541.429931640625,0.7139999866485596,0.1,140.02999877929688
22,2023-10-31,San Antonio Spurs,Phoenix Suns,224.5,0,0.640999972820282,155,278,229.0,0,0.0,1,No,100,-100.0,2441.429931640625,0.640999972820282,0.1,155.9600067138672
23,2023-11-01,Portland Trail Blazers,Detroit Pistons,216.5,0,0.7279999852180481,137,366,211.0,0,0.0,1,No,100,-100.0,2341.429931640625,0.7279999852180481,0.1,137.4499969482422
24,2023-11-01,Indiana Pacers,Boston Celtics,233.5,0,0.6919999718666077,144,324,259.0,1,0.0,1,Yes,100,144.50999450683594,2485.93994140625,0.6919999718666077,0.1,144.50999450683594
25,2023-11-01,Washington Wizards,Atlanta Hawks,240.5,0,0.699999988079071,142,333,251.0,1,0.0,1,Yes,100,142.91000366210938,2628.85009765625,0.699999988079071,0.1,142.91000366210938
26,2023-11-01,Cleveland Cavaliers,New York Knicks,210.5,0,0.7059999704360962,141,339,184.0,0,0.0,1,No,100,-100.0,2528.85009765625,0.7059999704360962,0.1,141.67999267578125
27,2023-11-01,Brooklyn Nets,Miami Heat,222.5,0,0.6980000138282776,143,330,214.0,0,0.0,0,Yes,100,143.36000061035156,2672.199951171875,0.3019999861717224,0.1,143.36000061035156
28,2023-11-01,New Orleans Pelicans,Oklahoma City Thunder,227.5,0,0.6050000190734863,165,253,216.0,0,0.0,1,No,100,-100.0,2572.199951171875,0.6050000190734863,0.1,165.14999389648438
29,2023-11-01,Chicago Bulls,Dallas Mavericks,220.5,0,0.6710000038146973,149,303,219.0,1,0.0,1,Yes,100,149.0399932861328,2721.25,0.6710000038146973,0.1,149.0399932861328
30,2023-11-01,Sacramento Kings,Golden State Warriors,228.0,0,0.6380000114440918,156,276,203.0,1,0.0,1,Yes,100,156.72999572753906,2877.97998046875,0.6380000114440918,0.1,156.72999572753906
31,2023-11-02,San Antonio Spurs,Phoenix Suns,229.5,0,0.6610000133514404,151,295,253.0,0,0.0,1,No,100,-100.0,2777.97998046875,0.6610000133514404,0.1,151.25
32,2023-11-02,Toronto Raptors,Philadelphia 76ers,214.5,0,0.7789999842643738,128,451,213.0,1,0.0,1,Yes,100,128.42999267578125,2906.39990234375,0.7789999842643738,0.1,128.42999267578125
33,2023-11-02,Detroit Pistons,New Orleans Pelicans,215.5,0,0.6169999837875366,162,260,241.0,1,0.0,1,Yes,100,162.1699981689453,3068.570068359375,0.6169999837875366,0.1,162.1699981689453
34,2023-11-03,Memphis Grizzlies,Portland Trail Blazers,220.0,0,0.6290000081062317,159,269,228.0,1,0.0,1,Yes,100,159.0500030517578,3227.6201171875,0.6290000081062317,0.1,159.0500030517578
35,2023-11-03,New York Knicks,Milwaukee Bucks,224.5,0,0.6069999933242798,164,254,215.0,1,0.0,1,Yes,100,164.77000427246094,3392.389892578125,0.6069999933242798,0.1,164.77000427246094
36,2023-11-04,Utah Jazz,Minnesota Timberwolves,224.5,0,0.7009999752044678,142,334,218.0,1,0.0,1,Yes,100,142.6999969482422,3535.090087890625,0.7009999752044678,0.1,142.6999969482422
37,2023-11-04,Los Angeles Lakers,Orlando Magic,222.5,0,0.640999972820282,156,278,221.0,1,0.0,1,Yes,100,156.08999633789062,3691.179931640625,0.640999972820282,0.1,156.08999633789062
38,2023-11-04,Phoenix Suns,Philadelphia 76ers,220.5,0,0.6859999895095825,145,318,212.0,1,0.0,1,Yes,100,145.82000732421875,3837.0,0.6859999895095825,0.1,145.82000732421875
39,2023-11-04,Chicago Bulls,Denver Nuggets,217.5,0,0.7279999852180481,137,367,224.0,1,0.0,1,Yes,100,137.33999633789062,3974.340087890625,0.7279999852180481,0.1,137.33999633789062
40,2023-11-05,Charlotte Hornets,Dallas Mavericks,235.0,0,0.7919999957084656,126,481,242.0,1,0.0,1,Yes,100,126.19999694824219,4100.5400390625,0.7919999957084656,0.1,126.19999694824219
41,2023-11-05,Golden State Warriors,Cleveland Cavaliers,223.0,0,0.6539999842643738,152,288,219.0,1,0.0,0,No,100,-100.0,4000.5400390625,0.34599998593330383,0.1,152.92999267578125
42,2023-11-05,Phoenix Suns,Detroit Pistons,218.0,0,0.6330000162124634,158,272,226.0,0,0.0,1,No,100,-100.0,3900.5400390625,0.6330000162124634,0.1,158.07000732421875
43,2023-11-06,New Orleans Pelicans,Denver Nuggets,229.5,0,0.7049999833106995,141,339,250.0,1,0.0,1,Yes,100,141.8000030517578,4042.340087890625,0.7049999833106995,0.1,141.8000030517578
44,2023-11-06,Dallas Mavericks,Orlando Magic,230.5,0,0.6370000243186951,157,275,219.0,0,0.0,1,No,100,-100.0,3942.340087890625,0.6370000243186951,0.1,157.0800018310547
45,2023-11-06,Washington Wizards,Philadelphia 76ers,229.0,0,0.7540000081062317,132,405,274.0,1,0.0,1,Yes,100,132.69000244140625,4075.030029296875,0.7540000081062317,0.1,132.69000244140625
46,2023-11-06,San Antonio Spurs,Indiana Pacers,239.0,0,0.6140000224113464,162,259,263.0,1,0.0,1,Yes,100,162.7899932861328,4237.81982421875,0.6140000224113464,0.1,162.7899932861328
47,2023-11-08,Phoenix Suns,Chicago Bulls,218.0,0,0.6190000176429749,161,262,231.0,0,0.0,0,Yes,100,161.52000427246094,4399.33984375,0.38100001215934753,0.1,161.52000427246094
